receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,wrTier,tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0033471,I.Ford,MIA,MIA,2020,WR,10,126,0.2792,8,8,4.66,0,0.1219,276,28,0,0.091,2.52,9.74,57.379,0.4,0.571,0.2727272727272727,0,0.38926174496644295,0.28859060402684567,0,0.056962025316455694,0.24848484848484848,0.4,0.2545454545454545,0.8424242424242424,0.5696969696969697,121,136,92,107,135,149,125,100,124,27,72
00-0032977,R.Higgins,CLE,CLE,2021,WR,15,126,0.2726,8,8,5.27,1,0.0933,275,24,0.2,0.149,2.67,11.99,50.22,-0.31,0.333,0.3630952380952381,0.2080536912751678,0.3422818791946309,0.21476510067114093,0.453416149068323,0.3057324840764331,0.3333333333333333,0.6369047619047619,0.15476190476190477,0.30357142857142855,0.22023809523809523,108,118,99,118,88,110,113,62,143,118,132
00-0035639,P.Campbell,NYG,NYG,2023,WR,11,126,0.2101,8,8,-22.3,1,0.0641,104,20,0.25,0.037,4,3.7,75.556,-1.06,0.143,0.0136986301369863,0.29285714285714287,0.20714285714285716,0.08571428571428572,0.5111111111111111,0.007142857142857143,0.9383561643835616,0.03424657534246575,0.9041095890410958,0.12413793103448276,0.06206896551724138,145,100,112,129,65,140,10,142,15,128,137
00-0034419,B.Berrios,NYJ,NYJ,2019,WR,11,126,0.1704,8,8,0.53,0,0.0226,115,6,NA,0.154,1.72,8.36,33.333,8.09,0,0.24260355029585798,0,0.007518796992481203,0.03759398496240601,NA,0.3270440251572327,0.047337278106508875,0.20118343195266272,0.04142011834319527,0,1,129,130,133,129,160,108,162,136,163,167,1
00-0039907,J.Polk,NE,NE,2024,WR,15,126,0.0803,8,8,-20.75,2,0.0655,87,12,0.4,0.029,1.72,15.23,29.762,-3.03,0,0.013157894736842105,0.2748091603053435,0.15267175572519084,0.022900763358778626,0.7724137931034483,0,0.019736842105263157,0.9407894736842105,0.03289473684210526,0,0,151,96,112,129,34,144,150,10,148,152,153
00-0026176,J.Nelson,LV,LV,2018,WR,NA,126,NA,8,8,20.12,3,NA,NA,NA,0.375,0.135,2.74,8.79,75.714,0.41,0.385,0.70625,NA,NA,NA,0.8013245033112583,0.21153846153846154,0.44375,0.26875,0.8875,0.4375,0.5094339622641509,48,128,128,128,31,124,90,118,19,88,79
00-0027690,E.Decker,NYJ,NYJ,2016,WR,NA,126,NA,8,8,7.63,2,NA,NA,NA,0.5,0.381,1.83,17.14,40.079,-0.81,0.5,0.47096774193548385,NA,NA,NA,0.9183673469387755,1,0.09032258064516129,0.9483870967741935,0.07741935483870968,0.7207792207792207,0.33548387096774196,83,130,130,130,11,1,142,9,144,42,104
00-0037261,K.Shakir,BUF,BUF,2022,WR,NA,126,NA,8,8,7.75,1,NA,NA,NA,0,0.19,2.52,17.6,60,0.77,0.5,0.4429530201342282,NA,NA,NA,0,0.5138888888888888,0.2751677852348993,0.9865771812080537,0.3691275167785235,0.6778523489932886,0.6711409395973155,84,126,126,126,128,71,109,3,92,42,50
00-0032935,J.Holton,LV,LV,2017,WR,NA,126,NA,8,8,1.62,3,NA,NA,NA,1,0.222,1.43,11.42,42.857,-0.23,0.4,0.3509933774834437,NA,NA,NA,0.9858156028368794,0.8028169014084507,0.013245033112582781,0.5165562913907285,0.12582781456953643,0.4304635761589404,0.32450331125827814,99,129,129,129,2,28,150,74,133,85,103
00-0036415,V.Jefferson,LA,LA,2020,WR,15,127,0.2743,8,8,1.76,1,0.0505,220,19,0.333,0.194,2.59,8.99,73.929,0.55,0.308,0.2,0.15436241610738255,0.09395973154362416,0.12080536912751678,0.7012987012987013,0.5253164556962026,0.296969696969697,0.30303030303030304,0.8363636363636363,0.15757575757575756,0.6363636363636364,133,127,136,132,44,76,117,116,28,139,61
00-0035624,N.Harry,NE,NE,2021,WR,12,127,0.2723,8,8,7.72,0,0.0573,184,12,0,0.227,2.25,15.34,36.667,-0.06,1,0.42857142857142855,0,0.1476510067114094,0.15436241610738255,0,0.7770700636942676,0.1130952380952381,0.8988095238095238,0.023809523809523808,0.9940476190476191,0.34523809523809523,97,137,128,127,142,36,150,18,165,2,111
