receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,TE_tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0031260,L.Thomas,WAS,WAS,2020,TE,16,13,0.6725,4,4,4,6.81,6,0.1697,670,72,0.333,0.117,2.89,7.7,62.915,0.75,0.3,0.39655172413793105,0.75,0.9107142857142857,0.8392857142857143,0.543859649122807,0.3508771929824561,0.3620689655172414,0.5344827586206896,0.3103448275862069,0.14035087719298245,0.7241379310344828,36,15,6,10,23,38,38,28,41,50,17
00-0033879,O.Howard,TB,TB,2017,TE,14,13,0.6602,4,4,4,17.01,6,0.0698,432,26,0.5,0.359,4.55,11.35,83.333,0.73,0.667,0.819672131147541,0.8867924528301887,0.33962264150943394,0.660377358490566,0.847457627118644,1,0.9836065573770492,0.9180327868852459,0.9508196721311475,0.95,0.7704918032786885,12,7,36,19,5,1,2,6,4,4,15
00-0035229,T.Hockenson,DET,DET,2021,TE,12,13,0.6571,4,4,4,5.47,5,0.189,585,61,0.333,0.128,2.91,7.73,71.06,0.08,0.381,0.484375,0.8245614035087719,0.9122807017543859,0.8596491228070176,0.5967741935483871,0.38333333333333336,0.203125,0.6875,0.671875,0.3770491803278688,0.328125,34,11,6,9,20,38,52,21,22,39,44
00-0033090,H.Henry,NE,NE,2024,TE,16,13,0.6488,4,4,4,24.2,2,0.1757,674,66,0.111,0.082,2.83,7.32,71.137,-0.19,0.562,0.7857142857142857,0.4423076923076923,0.8653846153846154,0.8076923076923077,0.23636363636363636,0.18518518518518517,0.03571428571428571,0.75,0.2857142857142857,0.8518518518518519,0.23214285714285715,13,29,8,11,42,45,55,15,41,9,44
00-0033110,T.Higbee,LA,LA,2022,TE,17,13,0.6405,4,4,4,4.89,3,0.1837,620,72,0.188,0.093,3.45,3.22,64.468,0.19,0.429,0.5230769230769231,0.5106382978723404,0.9148936170212766,0.7659574468085106,0.3225806451612903,0.13114754098360656,0.4461538461538462,0.06153846153846154,0.4307692307692308,0.609375,0.4461538461538462,32,22,5,12,43,54,37,62,38,24,37
00-0025418,G.Olsen,CAR,CAR,2018,TE,9,13,0.6352,4,4,4,21.8,4,0.118,291,27,0.667,0.211,2.9,7.91,65.952,-0.39,0.714,0.8070175438596491,0.8571428571428571,0.7142857142857143,0.6326530612244898,0.9464285714285714,0.6842105263157895,0.3333333333333333,0.543859649122807,0.43859649122807015,0.9107142857142857,0.12280701754385964,12,8,15,19,3,18,39,27,33,5,51
00-0022127,J.Witten,DAL,DAL,2019,TE,16,13,0.6216,4,4,4,19.35,4,0.1369,531,63,0.333,0.071,3.01,6.47,71.76,-0.01,0.5,0.7903225806451613,0.5555555555555556,0.7777777777777778,0.7037037037037037,0.6379310344827587,0.08196721311475409,0.3709677419354839,0.3548387096774194,0.6612903225806451,0.6612903225806451,0.3225806451612903,14,23,13,17,18,57,40,41,22,17,43
00-0031387,E.Ebron,DET,DET,2016,TE,13,14,0.6794,4,4,4,32.73,1,0.1583,711,61,0.167,0.129,2.58,8.38,70.908,-0.83,0.625,0.9,0.1875,0.75,0.875,0.27586206896551724,0.375,0.2833333333333333,0.5666666666666667,0.7,0.85,0.3333333333333333,7,40,13,7,40,36,44,27,19,9,41
00-0034383,D.Schultz,DAL,DAL,2020,TE,16,14,0.6719,4,4,4,13.08,4,0.1305,615,63,0.214,0.135,3.07,6.82,72.626,1.15,0.5,0.6206896551724138,0.5,0.7142857142857143,0.7857142857142857,0.2807017543859649,0.40350877192982454,0.4827586206896552,0.22413793103448276,0.6896551724137931,0.543859649122807,0.8448275862068966,23,27,17,13,42,35,31,46,19,24,10
00-0033110,T.Higbee,LA,LA,2023,TE,15,14,0.6557,4,4,4,18.81,2,0.1277,495,47,0.4,0.143,3.83,5.73,74.075,-0.08,0.533,0.8305084745762712,0.48214285714285715,0.7142857142857143,0.7142857142857143,0.8245614035087719,0.47368421052631576,0.7457627118644068,0.423728813559322,0.6271186440677966,0.7368421052631579,0.3559322033898305,11,30,17,17,9,31,16,35,23,16,39
