posteam,team,season,myRankNum,myRank,runOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
BUF,BUF,2018,15,1.5484,4,4,983.68,1993,15,0.399,0.6452,0.7419,0.5806,0.2258
GB,GB,2023,15,1.4839,4,4,1129.28,1919,10,0.452,0.5806,0.5484,0.1935,0.7419
LA,LA,2024,15,1.4516,4,4,1200.21,1783,15,0.475,0.6452,0.2581,0.4516,0.7419
LA,LA,2019,16,1.6774,4,4,976.13,1514,20,0.425,0.6129,0.1935,0.871,0.6129
IND,IND,2016,16,1.6129,4,4,932.18,1646,13,0.463,0.4516,0.3226,0.4194,0.871
CAR,CAR,2021,16,1.5484,4,4,1035.08,1855,17,0.464,0.3226,0.3871,0.5484,0.6129
PIT,PIT,2017,16,1.5484,4,4,980.05,1696,12,0.417,0.6452,0.3871,0.4516,0.7097
CLE,CLE,2018,16,1.4839,4,4,826.77,1909,15,0.412,0.2258,0.5806,0.5806,0.3226
LV,LV,2022,16,1.4839,4,4,1057.65,2063,12,0.491,0.3548,0.4839,0.129,0.871
SF,SF,2020,16,1.4194,4,4,1024.5,1898,20,0.418,0.4516,0.5484,0.6774,0.1935
WAS,WAS,2023,16,1.3871,4,4,791.72,1600,15,0.451,0,0.1613,0.5484,0.6774
PIT,PIT,2024,16,1.3548,4,4,1254.86,2180,14,0.418,0.7419,0.6774,0.3871,0.2903
DAL,DAL,2021,17,1.5484,5,5,1123.14,2150,15,0.432,0.5161,0.7419,0.4516,0.3548
MIA,MIA,2016,17,1.5484,5,5,854.87,1829,14,0.395,0.2581,0.7097,0.5484,0.2903
SF,SF,2017,17,1.5161,5,5,949.19,1672,15,0.405,0.5161,0.3226,0.7097,0.4839
LV,LV,2019,17,1.4839,5,5,992.12,1900,13,0.414,0.6452,0.6129,0.3871,0.4839
ARI,ARI,2022,17,1.4516,5,5,1060.36,1884,15,0.455,0.3871,0.3226,0.4516,0.6774
WAS,WAS,2020,17,1.3871,5,5,944.84,1637,18,0.457,0.2581,0.1935,0.6129,0.5806
NO,NO,2023,17,1.3548,5,5,1276.56,1773,13,0.431,0.7742,0.3548,0.4516,0.5484
DEN,DEN,2024,17,1.2581,5,5,1074.92,1929,12,0.441,0.3871,0.5484,0.1935,0.5161
