fantasy_player_id,fantasy_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,rbTier,tier,totalEPA,totalTD,run_share,YPG,EPA_rank,td_rank,run_rank,YPG_rank,tgt_share,conversion,explosive_rate,third_down_rate,avg_eff,avg_RYOE_perAtt,tgt_rank,third_rank,conversion_rank,explosive_rank,RYOE_rank,eff_rank,EPA_rank_num,td_rank_num,run_rank_num,tgt_rank_num,YPG_rank_num,third_rank_num,conversion_rank_num,explosive_rank_num,RYOE_rank_num,eff_rank_num
00-0039361,B.Irving,TB,TB,2024,RB,17,5,0.7943,2,2,35.45,8,0.4395,66,0.9642857142857143,0.6842105263157895,0.618421052631579,0.8026315789473685,0.0864600326264274,0.211,0.06763285024154589,0.8,3.4043128568419667,1.4130525614198814,0.6973684210526315,0.9047619047619048,0.7590361445783133,0.863013698630137,0.8809523809523809,0.8928571428571429,4,25,30,24,16,8,21,11,11,10
00-0035657,D.Harris,NE,NE,2021,RB,15,5,0.7943,2,2,7.44,15,0.4787,61.9,0.8952380952380953,0.9444444444444444,0.6555555555555556,0.8333333333333334,0.04285714285714286,0.283,0.0594059405940594,0.6923076923076923,3.737191558749478,0.8218431650332888,0.3,0.7326732673267327,0.9047619047619048,0.7888888888888889,0.9047619047619048,0.8285714285714286,12,6,32,64,16,27,11,20,11,19
00-0033118,K.Drake,ARI,ARI,2019,RB,8,5,0.767,2,2,13.42,8,0.6244,80.4,0.8775510204081632,0.9629629629629629,0.8888888888888888,0.9259259259259259,0.1267605633802817,0.318,0.047058823529411764,0.5333333333333333,4.013462977957366,0.07872398162292417,0.9012345679012346,0.5161290322580645,0.9175257731958762,0.43820224719101125,0.45918367346938777,0.6122448979591837,13,4,10,9,7,45,8,51,53,38
00-0035700,J.Jacobs,LV,LV,2022,RB,17,5,0.7658,2,2,0.63,12,0.8042,97.2,0.6739130434782609,0.8833333333333333,1,1,0.10256410256410256,0.227,0.04398826979472141,0.5416666666666666,3.586862115990935,0.2926004870378044,0.7833333333333333,0.6263736263736264,0.7840909090909091,0.4050632911392405,0.6086956521739131,0.75,31,8,1,14,1,35,20,48,37,24
00-0030433,M.Gillislee,BUF,BUF,2016,RB,15,5,0,2,2,22.33,9,0.22,38.5,0.956989247311828,0.7619047619047619,0.2698412698412698,0.5714285714285714,0.022132796780684104,0.389,0.09900990099009901,0.75,3.9472458103003016,NA,0.1111111111111111,0.9101123595505618,0.9456521739130435,0.9761904761904762,NA,0.6881720430107527,5,14,47,57,28,9,6,3,3,30
00-0031900,R.Smith,DAL,DAL,2017,RB,NA,5,0,2,2,16.15,5,0,0,0.9545454545454546,NA,NA,NA,NA,0.286,0.05454545454545454,0.7777777777777778,5.2592592592592595,NA,NA,0.8735632183908046,0.8620689655172413,0.7283950617283951,NA,0.20454545454545456,5,73,73,73,73,12,12,23,23,71
00-0034844,S.Barkley,NYG,NYG,2018,RB,16,6,0.7987,2,2,-5.29,16,0.7493,81.8,0.5,0.9285714285714286,0.9857142857142858,0.9571428571428572,0.19085173501577288,0.135,0.07604562737642585,0.47058823529411764,4.308612099555893,1.5980767256686519,0.9571428571428572,0.5238095238095238,0.3764705882352941,0.7763157894736842,0.9772727272727273,0.45454545454545453,45,6,2,4,4,41,54,18,3,49
00-0032764,D.Henry,TEN,TEN,2023,RB,17,6,0.7922,2,2,1.08,12,0.6527,68.6,0.8295454545454546,0.8441558441558441,0.948051948051948,0.9090909090909091,0.06486486486486487,0.27,0.05714285714285714,0.875,5.269112650426924,0.21098332293276448,0.4935064935064935,0.9767441860465116,0.8690476190476191,0.8108108108108109,0.6136363636363636,0.1590909090909091,16,11,5,40,8,2,12,14,35,75
00-0037248,J.Cook,BUF,BUF,2024,RB,16,6,0.7833,2,2,23.4,18,0.4694,63.1,0.9404761904761905,1,0.6710526315789473,0.7763157894736842,0.07495069033530571,0.25,0.04830917874396135,0.6,3.5246723522778227,1.223748430699306,0.5657894736842105,0.6428571428571429,0.8674698795180723,0.589041095890411,0.8690476190476191,0.8214285714285714,6,1,26,34,18,27,11,31,12,16
00-0033280,C.McCaffrey,CAR,CAR,2021,RB,7,6,0.7803,2,2,22.86,2,0.5351,63.1,0.9714285714285714,0.4666666666666667,0.8555555555555555,0.8666666666666667,0.1680327868852459,0.053,0.06060606060606061,0.6666666666666666,3.937395611428705,0.32357104677012305,0.9888888888888889,0.6831683168316832,0.17142857142857143,0.8111111111111111,0.7714285714285715,0.638095238095238,4,45,14,2,13,29,88,18,25,39
