receiver_player_id,player,posteam,season,numGames,tgt_share,numYards,numTD,numRec,wr_rank,playerYear,passOffenseTier,qbTier,runOffenseTier,player_name,position,points,NY_posteam,NY_numGames,NY_tgtShare,NY_seasonYards,NY_wr_rank,NY_playerYear,NY_passOffenseTier,NY_qbTier,NY_points,receiver_player_name,epaTier,NY_passFreqTier
00-0035662,M.Brown,KC,2024,2,0.18555008,91,4,6,4,3,0,9,4,0,0,18.1,KC,16,0.18555008,,4,7,2,1,,M.Brown,7,3
00-0035676,A.J. Brown,PHI,2024,13,0.284457478,1079,7,67,1,6,5,3,1,A.Brown,WR,257.2,PHI,16,0.3119911177,,1,7,4,3,,A.Brown,1,8
00-0035685,David Montgomery,DET,2024,14,0.07966457023,341,0,36,6,6,1,1,1,D.Montgomery,RB,225.32,DET,16,0.08357889097,,7,7,2,2,,D.Montgomery,3,5
00-0035689,Dawson Knox,BUF,2024,16,0.06573705179,311,1,22,7,6,2,1,2,D.Knox,TE,67.6,BUF,16,0.08975521306,,6,7,1,1,,D.Knox,4,8
00-0035700,Josh Jacobs,GB,2024,17,0.08514851485,342,2,36,6,6,2,4,2,J.Jacobs,RB,314.2,GB,16,0.08842083842,,6,7,1,3,,J.Jacobs,8,8
00-0035719,Deebo Samuel,SF,2024,15,0.1656441718,670,3,51,4,6,2,2,3,D.Samuel,WR,155.6,WAS,16,0.197435277,,2,7,2,2,,D.Samuel,8,6
00-0036040,Juwan Johnson,NO,2024,17,0.1150592217,548,3,50,5,5,6,6,4,J.Johnson,TE,122.8,NO,16,0.1452427184,,5,6,7,8,,J.Johnson,6,5
00-0036182,Nick Westbrook-Ikhine,TEN,2024,17,0.1030927835,497,10,32,4,5,6,7,6,N.Westbrook-Ikhine,WR,135.7,MIA,16,0.1514434453,,5,6,4,4,,N.Westbrook-Ikhine,7,3
00-0036223,Jonathan Taylor,IND,2024,14,0.07142857143,136,1,18,5,5,7,6,3,J.Taylor,RB,246.7,IND,16,0.07194311909,,6,6,8,8,,J.Taylor,NA,7
00-0036244,Colby Parkinson,LA,2024,17,0.08277027027,294,1,30,5,5,3,7,4,C.Parkinson,TE,77.6,LA,16,0.1718494272,,6,6,4,4,,C.Parkinson,8,4
00-0036251,Zack Moss,CIN,2024,8,0.09540636042,187,1,23,5,5,1,1,8,Z.Moss,RB,81.9,CIN,16,0.1026563365,,6,6,1,1,,Z.Moss,NA,1
00-0036252,Michael Pittman Jr.,IND,2024,16,0.2213438735,808,3,69,2,5,7,6,3,M.Pittman,WR,165.8,IND,16,0.2284953395,,2,6,8,8,,M.Pittman,8,7
00-0036259,Jauan Jennings,SF,2024,15,0.2246520875,975,6,77,1,4,2,2,3,J.Jennings,WR,210.5,SF,16,0.2470376095,,1,5,2,2,,J.Jennings,3,7
00-0036261,Brandon Aiyuk,SF,2024,7,0.2034632035,369,0,25,3,5,2,2,3,B.Aiyuk,WR,62.4,SF,16,0.2357052097,,3,6,2,2,,B.Aiyuk,5,7
00-0036275,D'Andre Swift,CHI,2024,17,0.0828125,388,0,42,5,5,8,8,6,D.Swift,RB,214.5,CHI,16,0.08606092345,,7,6,5,6,,D.Swift,8,2
00-0036290,Cole Kmet,CHI,2024,17,0.0921875,476,4,47,4,5,8,8,6,C.Kmet,TE,120.4,CHI,16,0.1426868045,,5,6,5,6,,C.Kmet,2,2
00-0036309,Darnell Mooney,ATL,2024,16,0.1927272727,992,6,64,2,5,3,7,2,D.Mooney,WR,193.2,ATL,16,0.2135442412,,2,6,3,5,,D.Mooney,3,4
00-0036322,Justin Jefferson,MIN,2024,17,0.2579564489,1533,10,103,1,5,2,3,7,J.Jefferson,WR,328.28,MIN,16,0.2713387242,,1,6,3,5,,J.Jefferson,3,4
00-0036358,CeeDee Lamb,DAL,2024,15,0.2528735632,1196,6,101,1,5,5,7,8,C.Lamb,WR,263.4,DAL,16,0.2692307692,,1,6,5,5,,C.Lamb,8,1
00-0036407,Jerry Jeudy,CLE,2024,17,0.2016348774,1233,4,90,1,5,8,7,7,J.Jeudy,WR,240.9,CLE,16,0.2373389272,,1,6,8,8,,J.Jeudy,5,5
00-0036410,Tee Higgins,CIN,2024,12,0.2235772358,911,10,73,2,5,1,1,8,T.Higgins,WR,222.1,CIN,16,0.2419072616,,2,6,1,1,,T.Higgins,2,1
00-0036415,Van Jefferson,PIT,2024,17,0.0731261426,276,2,24,6,5,6,7,4,V.Jefferson,WR,75.3,TEN,16,0.100619195,,6,6,7,7,,V.Jefferson,8,6
00-0036427,Tyler Johnson,LA,2024,15,0.07578558226,291,1,26,6,4,3,7,4,T.Johnson,WR,61.1,NYJ,16,0.1350342253,,7,5,3,2,,T.Johnson,8,3
00-0036429,Charlie Woerner,ATL,2024,16,0.02162162162,46,0,7,8,5,3,7,2,C.Woerner,TE,11.6,ATL,16,0.06162464986,,6,6,3,5,,C.Woerner,NA,4
