"season","week","player_id","player_display_name","team","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","expected_rush_yards","rush_yards_over_expected","rush_pct_over_expected","rush_attempts","rush_yards","rush_touchdowns","stat_type","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","catch_percentage","avg_yac","avg_expected_yac","avg_yac_above_expectation","targets","receptions","yards","rec_touchdowns"
2024,0,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.10076923076923,3.47282470743986,6.64496240601504,24.537788994672,72.9323308270677,3.76969072164948,4.26186000320208,-0.4921692815526,133,97,823,3
2024,3,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.51,3.20933819787738,4.612,14.044704305987,80,3.265,3.8902105081641,-0.625210508164102,5,4,30,0
2024,4,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",4.848,2.4251084120209,8.27777777777778,40.4232230059685,77.7777777777778,5.97,4.09515039300912,1.87484960699088,9,7,89,0
2024,5,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.60857142857143,5.09416750026311,5.469,35.3980582524272,90,3.64555555555556,4.19956503256573,-0.554009477010172,10,9,70,0
2024,7,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",8.7575,2.55467318663332,7.264,17.4138179028624,80,3.1575,4.62487643550895,-1.46737643550895,5,4,17,0
2024,8,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.0875,3.43503681835025,7.33833333333333,34.3006271179839,83.3333333333333,3.746,5.14065616599783,-1.39465616599783,12,10,90,1
2024,9,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.92583333333333,3.41823926135781,5.040625,29.9313416218222,87.5,2.57285714285714,3.70354107053642,-1.13068392767928,16,14,100,0
2024,10,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.4675,2.8088823939664,7.24666666666667,44.001416788949,66.6666666666667,2.875,3.29721120051335,-0.422211200513344,12,8,64,1
2024,12,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",9.68666666666667,3.77975192510873,5.9175,21.0213143872114,75,6.315,5.01261535480902,1.30238464519097,8,6,62,0
2024,13,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",4.3,2.92608210715998,5.43230769230769,18.7759225779007,53.8461538461538,4.47714285714286,4.47077170919395,0.00637114794890614,13,7,68,0
2024,14,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",7.462,3.83210664718649,7.68,19.8509455908327,83.3333333333333,2.716,2.92425665355745,-0.208256653557451,6,5,45,0
2024,15,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",4.478,2.73023085922635,10.4875,24.6019411781955,50,3.0775,4.35857517323434,-1.28107517323434,8,4,27,0
2024,16,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.6875,4.35506670897481,4.94285714285714,15.4685264663805,71.4285714285714,0.424000000000002,1.78557606599799,-1.36157606599798,7,5,30,0
2024,17,"00-0030506","Travis Kelce","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",6.60333333333333,4.3405126256859,5.87636363636364,29.7386823702613,72.7272727272727,6.73,7.70496289687503,-0.974962896875033,11,8,84,1
2024,0,"00-0030564","DeAndre Hopkins","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.57512820512821,2.70795662127819,10.83925,24.0757862237659,70,2.63678571428571,2.99258179124701,-0.355796076961294,80,56,618,5
2024,3,"00-0030564","DeAndre Hopkins","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"receiving",5.75285714285714,3.09634036252705,9.84428571428572,30.5967498445964,85.7142857142857,1.53666666666667,1.98086725844827,-0.444200591781608,7,6,73,1
