"player_id","full_name","position","position_group","team","jersey_number","height","weight","years_exp","status","college","player_display_name.x","games","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr","passer_player_name","passing_epa_total","passing_epa_per_play","passing_plays","rusher_player_name","rushing_epa_total","rushing_epa_per_play","rushing_plays","receiver_player_name","receiving_epa_total","receiving_epa_per_play","receiving_plays","player_display_name.y","avg_time_to_throw","avg_completed_air_yards","avg_intended_air_yards.x","completion_percentage_above_expectation","aggressiveness","max_completed_air_distance","player_display_name.x.x","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","expected_rush_yards","rush_yards_over_expected","rush_pct_over_expected","player_display_name.y.y","avg_cushion","avg_separation","avg_intended_air_yards.y","percent_share_of_intended_air_yards","catch_percentage","avg_yac","avg_expected_yac","avg_yac_above_expectation","fantasy_ppg","pass_ypg","rush_ypg","rec_ypg","total_tds","total_epa","ngs_avg_time_to_throw","ngs_avg_completed_air_yards","ngs_avg_intended_air_yards","ngs_completion_pct_above_expectation","ngs_aggressiveness","ngs_max_completed_air_distance","ngs_efficiency","ngs_pct_attempts_gte_eight_defenders","ngs_avg_time_to_los","ngs_expected_rush_yards","ngs_rush_yards_over_expected","ngs_rush_pct_above_expectation","ngs_avg_cushion","ngs_avg_separation","ngs_rec_avg_intended_air_yards","ngs_pct_share_intended_air_yards","ngs_catch_percentage","ngs_avg_yac","ngs_avg_expected_yac","ngs_avg_yac_above_expectation"
"00-0033251","Zach Pascal","WR","WR","ARI",0,74,214,7,"ACT","Old Dominion",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0035510","Jeff Smith","WR","WR","ARI",86,73,195,5,"CUT","Boston College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0035876","Andre Baccellia","WR","WR","ARI",82,70,175,4,"DEV","Washington",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038147","Daylen Baldwin","WR","WR","ARI",86,74,219,2,"CUT","Michigan",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038702","Daniel Arias","WR","WR","ARI",38,76,215,1,"CUT","Colorado",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039397","Tejhaun Palmer","WR","WR","ARI",83,74,210,0,"DEV","Alabama-Birmingham",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039521","Xavier Weaver","WR","WR","ARI",89,73,180,0,"ACT","Colorado","Xavier Weaver",2,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0029604","Kirk Cousins","QB","QB","ATL",18,75,202,12,"ACT","Michigan State","Kirk Cousins",14,303,453,3508,18,16,23,0,0,0,0,0,0,176.32,"K.Cousins",16.23,0.034,478,"K.Cousins",-9.58,-1.064,9,NA,0,0,0,"Kirk Cousins",2.69652097633534,5.77227569716517,7.62416935589769,2.12191383839677,19.5254872099992,49.9630833716255,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,12.6,250.6,0,0,18,6.65,2.69652097633534,5.77227569716517,7.62416935589769,2.12191383839677,19.5254872099992,49.9630833716255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039917","Michael Penix Jr.","QB","QB","ATL",9,75,213,0,"ACT","Washington","Michael Penix",5,61,105,775,3,3,7,11,1,0,0,0,0,44.1,"M.Penix",14.55,0.134,109,"M.Penix",-0.27,-0.271,1,NA,0,0,0,"Michael Penix Jr.",2.66767306228534,7.93299359509886,9.984623997624,-5.42150356283535,14.0109533091989,49.2285577688398,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8.8,155,2.2,0,4,14.28,2.66767306228534,7.93299359509886,9.984623997624,-5.42150356283535,14.0109533091989,49.2285577688398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0026143","Matt Ryan","QB","QB","ATL",2,76,217,16,"RET","Boston College",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
