"player_id","player_name","season","games","passing_plays_total","passing_epa_total","passing_epa_avg","rushing_plays_total","rushing_epa_total","rushing_epa_avg","receiving_plays_total","receiving_epa_total","receiving_epa_avg","total_epa"
"00-0037664","A.Pierce",2024,16,0,0,NA,0,0,NA,69,75.58,1.238,75.58
"00-0037666","J.Tolbert",2024,17,0,0,NA,0,0,NA,79,53.82,0.673,53.82
"00-0037740","G.Wilson",2024,17,0,0,NA,2,-0.12,-0.06,154,92.96,0.644,92.84
"00-0037741","J.Dotson",2024,14,0,0,NA,1,0.75,0.75,33,12.39,0.402,13.14
"00-0037742","T.Burks",2024,5,0,0,NA,2,-0.93,-0.465,8,4.43,0.823,3.5
"00-0037744","T.McBride",2024,16,0,0,NA,1,0.6,0.6,147,82.29,0.584,82.89
"00-0037745","V.Jones",2024,2,0,0,NA,3,-0.52,-0.298,1,0.56,0.56,0.04
"00-0037746","B.Robinson",2024,14,0,0,NA,187,-12.09,-0.12,25,5.91,0.218,-6.18
"00-0037801","K.Turpin",2024,15,0,0,NA,16,3.18,0.135,52,36.36,0.727,39.54
"00-0037805","J.Ruckert",2024,13,0,0,NA,0,0,NA,28,3.92,0.13,3.92
"00-0037809","C.Okonkwo",2024,16,0,0,NA,1,1.08,1.08,71,28.2,0.666,29.28
"00-0037816","R.Doubs",2024,13,0,0,NA,0,0,NA,73,55.77,0.917,55.77
"00-0037827","T.Davis-Price",2024,1,0,0,NA,3,-1.85,-0.617,0,0,NA,-1.85
"00-0037834","B.Purdy",2024,15,482,78.22,0.165,17,7.41,0.436,0,0,NA,85.63
"00-0037837","C.Austin",2024,17,0,0,NA,0,0,NA,58,46.88,0.814,46.88
"00-0037838","I.Likely",2024,15,0,0,NA,0,0,NA,58,38.94,0.666,38.94
"00-0037840","K.Williams",2024,16,0,0,NA,316,-23.5,-0.076,40,2.14,0.074,-21.36
"00-0038040","Z.White",2024,8,0,0,NA,65,-36.28,-0.477,8,-0.9,0.018,-37.18
"00-0038041","J.Ferguson",2024,14,0,0,NA,0,0,NA,86,4.9,0.017,4.9
