"player_id","player_name","position","team","week","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr"
"00-0034407","R.McCloud","WR","ATL",18,0,0,0,0,0,0,0,0,4,7,66,0,10.6
"00-0034418","C.Wilson","WR","NO",18,0,0,0,0,0,0,0,0,3,5,22,0,5.2
"00-0034419","B.Berrios","WR","MIA",3,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0034487","T.Sherfield","WR","MIN",15,0,0,0,0,0,0,0,0,1,1,6,0,1.6
"00-0034521","A.Lazard","WR","NYJ",18,0,1,0,0,0,0,0,0,3,3,71,1,16.1
"00-0034577","K.Allen","QB","PIT",5,1,1,19,0,0,0,0,0,0,0,0,0,0.76
"00-0034613","T.Hudson","TE","CIN",18,0,0,0,0,0,0,0,0,1,1,11,0,2.1
"00-0034646","B.Powell","WR","MIN",15,0,0,0,0,0,0,0,0,1,1,12,0,2.2
"00-0034753","M.Andrews","TE","BAL",18,0,0,0,0,0,1,0,0,4,8,54,1,15.4
"00-0034771","M.Rudolph","QB","TEN",18,7,9,70,0,0,1,5,0,0,0,0,0,3.3
"00-0034775","C.Kirk","WR","JAX",8,0,0,0,0,0,0,0,0,2,5,59,0,7.9
"00-0034777","D.Chark","WR","LAC",18,0,0,0,0,0,0,0,0,1,3,6,1,7.6
"00-0034791","N.Chubb","RB","CLE",15,0,0,0,0,0,9,41,0,0,1,0,0,2.1
"00-0034796","L.Jackson","QB","BAL",18,16,32,217,2,0,9,63,0,0,0,0,0,22.98
"00-0034798","D.Smythe","TE","MIA",18,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0034827","D.Moore","WR","CHI",18,0,0,0,0,0,1,5,0,9,10,86,1,22.1
"00-0034829","M.Gesicki","TE","CIN",18,0,0,0,0,0,0,0,0,8,10,68,0,14.8
"00-0034830","H.Hurst","TE","LAC",16,0,0,0,0,0,0,0,0,1,1,8,0,1.8
"00-0034837","C.Ridley","WR","TEN",18,0,0,0,0,0,2,-3,0,3,5,76,0,10.3
"00-0034844","S.Barkley","RB","PHI",17,0,0,0,0,0,31,167,0,2,2,2,0,18.9
"00-0034854","K.Hodge","WR","ATL",18,0,0,0,0,0,0,0,0,1,2,24,0,3.4
"00-0034855","B.Mayfield","QB","TB",18,21,32,221,2,1,9,68,0,0,0,0,0,21.64
"00-0034857","J.Allen","QB","BUF",17,16,27,182,2,0,5,17,1,0,0,0,0,22.98
"00-0034860","D.Pettis","WR","NO",18,0,0,0,0,0,0,0,0,2,6,16,1,9.6
"00-0034869","S.Darnold","QB","MIN",18,18,41,166,0,0,3,10,0,0,0,0,0,7.64
"00-0034928","S.Sims","WR","HOU",4,0,0,0,0,0,1,0,0,0,0,0,0,0
"00-0034960","J.Meyers","WR","LV",18,0,0,0,0,0,0,0,0,9,10,123,1,27.3
"00-0034972","A.Mattison","RB","LV",18,0,0,0,0,0,6,20,0,4,5,11,0,7.1
"00-0034975","J.Hill","RB","BAL",16,0,0,0,0,0,2,30,0,0,1,0,0,3
"00-0034981","F.Moreau","TE","NO",18,0,0,0,0,0,0,0,0,4,4,31,0,7.1
"00-0035021","A.Dulin","WR","IND",12,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0035100","J.Browning","QB","CIN",16,0,0,0,0,0,1,-1,0,0,0,0,0,-0.1
"00-0035140","M.Hardman","WR","KC",12,0,0,0,0,0,2,15,0,0,0,0,0,1.5
"00-0035208","O.Zaccheaus","WR","WAS",18,0,0,0,0,0,0,0,0,2,5,51,0,7.1
"00-0035216","D.Johnson","WR","HOU",18,0,0,0,0,0,0,0,0,2,4,12,0,3.2
"00-0035228","K.Murray","QB","ARI",18,25,35,242,4,0,3,22,0,0,0,0,0,27.88
"00-0035229","T.Hockenson","TE","MIN",18,0,0,0,0,0,0,0,0,2,8,9,0,2.9
"00-0035243","M.Sanders","RB","CAR",18,0,0,0,0,0,17,66,1,3,4,50,1,26.6
"00-0035249","J.Oliver","TE","MIN",18,0,0,0,0,0,0,0,0,2,3,16,0,3.6
"00-0035250","D.Singletary","RB","NYG",18,0,0,0,0,0,7,22,0,1,1,-5,0,2.7
"00-0035261","T.Pollard","RB","TEN",18,0,0,0,0,0,22,62,0,0,0,0,0,6.2
"00-0035264","J.Stidham","QB","DEN",18,0,0,0,0,0,2,7,0,0,0,0,0,0.7
"00-0035289","G.Minshew","QB","LV",12,25,42,230,1,1,2,5,0,0,0,0,0,11.7
"00-0035298","S.Miller","WR","PIT",15,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0035311","M.Gaskin","RB","MIN",5,0,0,0,0,0,2,2,0,1,1,11,0,2.3
"00-0035341","T.Irwin","WR","CIN",9,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0035406","L.Humphrey","WR","DEN",18,0,0,0,0,0,0,0,0,2,2,26,0,4.6
"00-0035500","G.Dortch","WR","ARI",18,0,0,0,0,0,1,7,0,4,4,47,2,21.4
"00-0035535","D.Slayton","WR","NYG",18,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0035537","T.Johnson","RB","BUF",18,0,0,0,0,0,2,13,0,1,2,0,0,2.3
